assy :
HOIST LESS POS 4 FAULT STAND HANDLE BESAR TIDAK ROBOH STAND NO 6 DAN 9

block :

IZK 46 PERBAIKAN MT	6,9 min
ISPS 02 TOUCH SEN OFF FAULT	5,8 min
ISPS 05 CNC FAULT ALARM 3A	5,8 min
ISPS 05 CNC FAULT ALARM 43	5,8 min
ISPS 05 COMMUNICATION ERROR	5,8 min
ISPS 05 COMMUNICATION ERROR (MASTER ON MATI SAAT PROSES)	5,8 min
ISPS 05 COMMUNICATIONS ERROR	5,8 min
ISPS 05 LINK FAULT (MASTER ON MATI)	5,8 min
ISPS 07 SPINDLE CLAMP T/END	5,8 min
ISPS 08 TOOL INSP ON FAULT (DRILL DELIVERI PIPE PATAH CT 250/1000)	5,8 min
ISPS 34 FIXED OFF FAULT	5,8 min
-KAMERA CEK WJ WORK NO SIGNAL SAAT LOADING CHECK WORK	4,6 min
ISPS 02 SPINDLE UNCLAMP T/END	4,6 min
ISPS 02 TOOL INSP OFF FAULT	4,6 min
ISPS 5 SERIAL COM ERROR.MASTER ON MATI 2X	4,6 min
ISPS 02 TOUCH SEN MEAS FAULT	3,5 min
ISPS 04 TOUCH SEN MEAS FAULT	3,5 min
ISPS 07 ALLOWAN DEVIATI	3,5 min
ISPS 5 SERIAL COM ERROR	3,5 min
ITS 13 OH2 LEAK TEST FAULT	3,5 min

crank

-ILA 05 LS PS OFF FAULT [18.4]	18,4 min
-ILA 04 TAIL STOCK ADVANCE FAULT [11.5]	11,5 min
-ILA 05 MODEL DETECK DOWN FAULT. COKOTAI [11.5]	11,5 min
-ILA 05 TIDAK MAU PROSES AUTO [11.5]	11,5 min
-ILP 03 PIN CLAMP UNCLAMP FAULT [11.5]	11,5 min
-MC AUTO GRAFIR TIDAK MAU PROSES [9.02]	9,2 min
ILA 04 TAIL STOCK ADVANCE FAULT [9.2]	9,2 min
-ILA 05 LS PS CONF FAULT [8.05]	8,1 min
-IMI 043 PHASE PS CLOG FAULT [8.05]	8,1 min
-IMI 043 PHASE PS CLOG FAULT [8.05]	8,1 min
-MC AUTO GRAFIR STOP [6.9]	6,9 min
-MC AUTO GRAFIR TIDAK MAU PROSES [6.9]	6,9 min
-MC AUTO GRAFIR TIDAK MAU PROSES [6.9]	6,9 min
-MC AUTO GRAFIR TIDAK MAU PROSES [6.9]	6,9 min
ILA 03 DOOR OPEN CLOSE FAULT. BOLT BRACKET LEPAS [6.9]	6,9 min
